,Bor,Nei,lat,log
0,Scarborough,Rouge,43.8049304,-79.1658374
1,Scarborough,Malvern,43.8091955,-79.2217008
2,Scarborough,Highland Creek,43.7901172,-79.1733344
3,Scarborough,Rouge Hill,43.7802711,-79.1304992
4,Scarborough,Port Union,43.7755039,-79.1349765
5,Scarborough,Guildwood,43.7548985,-79.1977755
6,Scarborough,Morningside,43.7826012,-79.2049579
7,Scarborough,West Hill,43.7689144,-79.1872905
8,Scarborough,Woburn,43.7598243,-79.2252908
9,Scarborough,Cedarbrae,43.7564665,-79.2266924
10,Scarborough,Scarborough Village,43.7437422,-79.2116324
11,Scarborough,East Birchmount Park,43.7141672,-79.271109
12,Scarborough,Ionview,43.7359904,-79.2765146
13,Scarborough,Kennedy Park,43.724878,-79.2539688
14,Scarborough,Clairlea,43.7088231,-79.2959856
15,Scarborough,Golden Mile,43.7278414,-79.2876217
16,Scarborough,Oakridge,43.6971738,-79.2748232
17,Scarborough,Cliffcrest,43.7219387,-79.2362324
18,Scarborough,Cliffside,43.7111699,-79.2481769
19,Scarborough,Scarborough Village West,43.7437422,-79.2116324
20,Scarborough,Birch Cliff,43.7021121,-79.2600905
21,Scarborough,Cliffside West,43.7111699,-79.2481769
22,Scarborough,Dorset Park,43.7528467,-79.282067
23,Scarborough,Scarborough Town Centre,43.7761255,-79.2584356
24,Scarborough,Wexford Heights,43.7432421,-79.304641
25,Scarborough,Maryvale,43.7590508,-79.3102297
26,Scarborough,Wexford,43.7453767,-79.2947155
27,Scarborough,Agincourt,43.7853531,-79.2785494
28,Scarborough,Clarks Corners,43.7964095,-79.2977951
29,Scarborough,Sullivan,43.7726802,-79.3159449
30,Scarborough,Tam O'Shanter,43.7810454,-79.2980941
31,Scarborough,Agincourt North,43.8080383,-79.2664391
32,Scarborough,L'Amoreaux East,43.799003,-79.3059669
33,Scarborough,Milliken,43.8232173,-79.3015232
34,Scarborough,Steeles East,43.8161778,-79.3145378
35,Scarborough,L'Amoreaux West,43.799003,-79.3059669
36,Scarborough,Steeles West,43.8161778,-79.3145378
37,Scarborough,Upper Rouge,43.8049304,-79.1658374
38,North York,Hillcrest Village,43.7996637,-79.3650189
39,North York,Fairview,43.7708175,-79.4132998
40,North York,Henry Farm,43.7695089,-79.354296
41,North York,Oriole,43.7649819,-79.3642488
42,North York,Bayview Village,43.7691966,-79.3766617
43,North York,Silver Hills,43.7612224,-79.3683818
44,North York,York Mills,43.7461836,-79.4204541
45,North York,Newtonbrook,43.7938863,-79.425679
46,North York,Willowdale,43.7753558,-79.416686
47,North York,Willowdale South,43.7753558,-79.416686
48,North York,York Mills West,43.7461836,-79.4204541
49,North York,Willowdale West,43.7753558,-79.416686
50,North York,Parkwoods,43.7612239,-79.3239857
51,North York,Don Mills North,43.737178,-79.3434514
52,North York,Flemingdon Park,43.7184315,-79.333204
53,North York,Don Mills South,43.737178,-79.3434514
54,North York,Bathurst Manor,43.7638929,-79.4563669
55,North York,Downsview North,43.7492988,-79.462248
56,North York,Wilson Heights,43.7405195,-79.4400172
57,North York,Northwood Park,43.7541351,-79.50448
58,North York,York University,43.7740965,-79.4995213
59,North York,CFB Toronto,43.70011,-79.4163
60,North York,Downsview East,43.7492988,-79.462248
61,North York,Downsview West,43.7492988,-79.462248
62,North York,Downsview Central,43.7492988,-79.462248
63,North York,Downsview Northwest,43.7492988,-79.462248
64,North York,Victoria Village,43.732658,-79.3111892
65,East York,Woodbine Gardens,43.7120785,-79.3025673
66,East York,Parkview Hill,43.70011,-79.4163
67,East York,Woodbine Heights,43.6999302,-79.3191316
68,East Toronto,The Beaches,43.6710244,-79.296712
69,East York,Leaside,43.7047983,-79.3680904
70,East York,Thorncliffe Park,43.704553,-79.3454074
71,East York,East Toronto,43.6247901,-79.3934918
72,East Toronto,The Danforth West,43.6863598,-79.3003158
73,East Toronto,Riverdale,43.6654704,-79.3525936
74,East Toronto,The Beaches West,43.6710244,-79.296712
75,East Toronto,India Bazaar,43.70011,-79.4163
76,East Toronto,Studio District,43.6608818,-79.3413549
