,ven_city,ven_id,ven_lat,ven_lng,ven_name
0,Austin,4d780e87ece5a1cddcd58fa4,30.264501172994212,-97.74482078445122,Berry Austin
1,Austin,5af79581f8cbd400394cf2a3,30.267235435168693,-97.75275022670726,The Baked Bear
2,Austin,4e9cb24446904f8f933fc63b,30.25565358973032,-97.7625261861055,Lick Ice Creams
3,Buda,5c71cefddee770002c369982,30.082615,-97.82344,Freddy’s Frozen Custard & Steakburgers
4,Austin,4b25904af964a520db7324e3,30.39141053738298,-97.71398751339021,Culver's
5,Austin,58f41f308f2c1a6dfeecf62a,30.297998847280084,-97.70522069771084,Lick Ice Cream
6,Austin,5a55544658aa7f5ba527a1de,30.24462800948152,-97.75852560997009,Manolis Ice Cream Pastries & Cakes
7,Austin,4a078354f964a52077731fe3,30.271885945931185,-97.75451564017992,Amy's Ice Creams
8,Round Rock,4a196bc6f964a520127a1fe3,30.55627662622072,-97.68788442005997,Mighty Fine Burgers
9,Austin,49bfb66df964a5201b551fe3,30.24806771479737,-97.76167227228875,Thai Fresh
10,Austin,578acc64498e2228cbfbee45,30.264308551649883,-97.7275227243277,Prohibition Creamery
11,Austin,58a7903e964d78437a77232d,30.404063763414282,-97.721710325806,Frost a Gelato Shoppe
12,Austin,55198b97498e0097211b8ee9,30.26488307208362,-97.73213744415447,Gelateria Gemelli
13,Austin,4a511843f964a52098b01fe3,30.433050832431597,-97.77146440568592,Cupprimo Cupcakery & Coffee Spot
14,Austin,49c9af8ef964a52090581fe3,30.30134004358901,-97.7392717424419,Amy's Ice Creams
15,Austin,4bd5c7de6798ef3beff0638d,30.36317239500162,-97.7294667440958,Dairy Queen - Burnet
16,Austin,4a7e27b5f964a52035f11fe3,30.248719918322173,-97.74972930731612,Hey Cupcake!
17,Austin,4a2eec63f964a52084981fe3,30.213824514756602,-97.82931399163799,Culver's
18,Austin,51f32ebc498ec6e1dc48f5f4,30.258710775230433,-97.739020224812,Little Lucy's Mini Donuts
19,Austin,4cf70303dc40a35dcf5e4b54,30.24324073125167,-97.78230725493415,Amy's Ice Creams
20,Austin,4a11df1af964a52056771fe3,30.25098681026554,-97.74904795069426,Amy's Ice Creams
21,Austin,49ff0e72f964a520c46f1fe3,30.2163907941405,-97.79857258541432,Dairy Queen - Stassney
22,Pflugerville,55835f9e498e5578c36c9ba1,30.464936149300737,-97.59705261292969,Andy's Frozen Custard
23,Round Rock,4c6b17886d390f47cc160a9a,30.510035830089212,-97.68843963417703,Freddy's Frozen Custard & Steakburgers
24,Austin,4b4543b2f964a520660926e3,30.306909963936942,-97.68016512753003,Dairy Queen - Manor
25,Austin,4ae39370f964a520d59621e3,30.391071308571462,-97.74767387999083,The Cheesecake Factory
26,Bee Cave,4bdca7893904a593d9284f9e,30.309150350074948,-97.93925748827441,Amy's Ice Creams
27,Austin,588d5102288b6a4be137512c,30.402613042627483,-97.72121866599798,Sprinkles
28,Cedar Park,58473213424f93533ae0ba95,30.518396748151332,-97.79047627599907,Scoop & Score Ice Cream and Coffee
29,Austin,5770687e498edf506241c1cd,30.306493635014093,-97.71529193854029,Sweet Ritual
